Province;Commune;Indice CDL;Inégalité Gini/100;Déficit Education;Déficit Santé;Déficit Activité Economique;Déficit Habitat;Déficit Services Sociaux;Déficit Niveau de Vie;InégalitéGINII
El Hajeb;Ait Harz Allah;0.581;30.0;0.576;0.432;0.086;0.366;0.511;0.543;0.300
Al  Haouz;Ait Hkim-Ait Yzid;0.569;26.8;0.709;0.442;0.030;0.427;0.421;0.554;0.268
Taroudannt;Ait Iaaza (Mun,);0.762;36.7;0.413;0.304;0.045;0.165;0.166;0.336;0.367
Khémisset;Ait Ichou;0.359;24.1;0.627;0.727;0.411;0.569;0.781;0.729;0.241
Taroudannt;Ait Igas;0.620;29.1;0.622;0.366;0.219;0.273;0.340;0.461;0.291
Khémisset;Ait Ikkou;0.450;24.1;0.630;0.459;0.388;0.434;0.649;0.738;0.241
Marrakech;Ait Imour;0.609;31.2;0.595;0.459;0.130;0.316;0.338;0.508;0.312
Khénifra;Ait Ishaq;0.623;31.6;0.557;0.462;0.259;0.264;0.239;0.482;0.316
Tiznit;Ait Issafen;0.537;37.1;0.783;0.647;0.036;0.316;0.497;0.496;0.371
Midelt;Ait Izdeg;0.589;37.1;0.588;0.414;0.140;0.387;0.414;0.523;0.371
Al Hoceima;Ait Kamra;0.660;31.0;0.536;0.344;0.128;0.186;0.369;0.479;0.310
Driouch;Ait Mait;0.593;40.5;0.628;0.517;0.020;0.221;0.521;0.532;0.405
Azilal;Ait Majden;0.582;30.2;0.648;0.438;0.103;0.418;0.386;0.511;0.302
Taroudannt;Ait Makhlouf;0.584;26.2;0.638;0.443;0.113;0.317;0.435;0.547;0.262
Khémisset;Ait Malek;0.507;20.9;0.573;0.459;0.193;0.413;0.649;0.668;0.209
Azilal;Ait Mazigh;0.491;21.3;0.504;0.506;0.078;0.673;0.572;0.719;0.213
Inezgane- Ait Melloul;Ait Melloul (Mun,);0.777;34.1;0.414;0.321;0.028;0.178;0.049;0.348;0.341
Azilal;Ait M'Hamed;0.504;28.7;0.704;0.376;0.175;0.577;0.498;0.647;0.287
Chtouka- Ait Baha;Ait Milk;0.601;33.6;0.745;0.487;0.013;0.244;0.431;0.475;0.336
Khémisset;Ait Mimoune;0.512;25.1;0.607;0.439;0.278;0.368;0.604;0.632;0.251
Chtouka- Ait Baha;Ait Mzal;0.588;33.4;0.667;0.517;0.044;0.229;0.510;0.506;0.334
El Hajeb;Ait Naamane;0.561;33.8;0.575;0.411;0.198;0.347;0.531;0.571;0.338
Azilal;Ait Ouaarda;0.521;25.4;0.547;0.487;0.425;0.526;0.372;0.518;0.254
Tata;Ait Ouabelli;0.634;31.0;0.538;0.474;0.026;0.408;0.279;0.473;0.310
Chtouka- Ait Baha;Ait Ouadrim;0.554;32.3;0.702;0.460;0.034;0.348;0.594;0.533;0.323
Tiznit;Ait Ouafqa;0.610;35.9;0.736;0.438;0.029;0.256;0.408;0.471;0.359
Meknès;Ait Ouallal;0.637;33.2;0.537;0.399;0.067;0.282;0.402;0.493;0.332
Zagora;Ait Ouallal;0.623;27.3;0.608;0.398;0.081;0.358;0.342;0.473;0.273
Tinghir;Ait Ouassif;0.594;30.3;0.654;0.352;0.348;0.337;0.290;0.454;0.303
El Hajeb;Ait Ouikhalfen;0.488;25.9;0.575;0.454;0.472;0.381;0.553;0.637;0.259
Béni Mellal;Ait Oum El Bekht;0.521;24.9;0.619;0.462;0.288;0.406;0.541;0.559;0.249
Azilal;Ait Oumdis;0.484;28.5;0.732;0.447;0.339;0.484;0.540;0.554;0.285
Azilal;Ait Ouqabli;0.431;25.5;0.641;0.636;0.135;0.606;0.642;0.756;0.255
Khémisset;Ait Ouribel;0.570;21.5;0.546;0.421;0.183;0.351;0.489;0.588;0.215
Al  Haouz;Ait Ourir (Mun,);0.758;35.7;0.429;0.312;0.037;0.180;0.132;0.364;0.357
Khénifra;Ait Saadelli;0.523;32.1;0.599;0.593;0.261;0.433;0.448;0.525;0.321
