Province;Commune;Indice CDL;Inégalité Gini/100;Déficit Education;Déficit Santé;Déficit Activité Economique;Déficit Habitat;Déficit Services Sociaux;Déficit Niveau de Vie;InégalitéGINII
Berkane;Fezouane;0.624;27.1;0.531;0.463;0.029;0.267;0.432;0.531;0.271
Zagora;Fezouata;0.602;41.4;0.613;0.459;0.083;0.449;0.325;0.460;0.414
Chefchaouen;Fifi;0.561;38.3;0.532;0.445;0.278;0.349;0.522;0.505;0.383
Figuig;Figuig (Mun,);0.755;35.4;0.342;0.312;0.054;0.173;0.254;0.335;0.354
M'Diq-Fnideq;Fnideq (Mun,);0.759;31.1;0.445;0.336;0.035;0.183;0.050;0.395;0.311
Berrechid;Foqra Oulad Aameur;0.592;34.2;0.626;0.372;0.089;0.316;0.528;0.521;0.342
Béni Mellal;Foum El Anceur;0.620;43.9;0.527;0.408;0.123;0.279;0.410;0.531;0.439
Laayoune;Foum El Oued;0.667;29.7;0.420;0.389;0.018;0.265;0.437;0.467;0.297
Azilal;Foum Jemaa;0.680;37.5;0.492;0.412;0.101;0.260;0.239;0.414;0.375
Béni Mellal;Foum Oudi;0.644;29.8;0.450;0.444;0.129;0.256;0.387;0.470;0.298
Tata;Foum Zguid (Mun,);0.714;38.7;0.440;0.289;0.125;0.243;0.206;0.411;0.387
Fquih Ben Salah;Fquih Ben Salah (Mun,);0.765;34.1;0.424;0.350;0.048;0.183;0.044;0.364;0.341
El Kelaa des Sraghna;Fraita;0.632;32.3;0.572;0.418;0.194;0.291;0.277;0.458;0.323
Taroudannt;Freija;0.643;28.3;0.579;0.399;0.170;0.254;0.283;0.456;0.283
Boulemane;Fritissa;0.569;32.7;0.574;0.419;0.311;0.348;0.418;0.517;0.327
Jerada;Gafait;0.615;38.0;0.605;0.374;0.004;0.340;0.441;0.546;0.380
Taounate;Galaz;0.562;28.3;0.583;0.476;0.171;0.342;0.509;0.548;0.283
Taza;Galdamane;0.553;29.6;0.591;0.393;0.210;0.314;0.587;0.586;0.296
Settat;Gdana;0.586;28.2;0.550;0.402;0.207;0.321;0.532;0.474;0.282
Taounate;Ghafsai (Mun,);0.769;42.0;0.363;0.262;0.040;0.238;0.133;0.353;0.420
Ouarzazate;Ghassate;0.621;30.0;0.643;0.467;0.067;0.340;0.283;0.474;0.300
Errachidia;Gheris El Ouloui;0.661;31.7;0.472;0.425;0.146;0.257;0.312;0.419;0.317
Errachidia;Gheris Es-soufli;0.639;29.8;0.457;0.440;0.187;0.296;0.329;0.460;0.298
Taza;Ghiata Al Gharbia;0.604;28.3;0.571;0.361;0.130;0.265;0.508;0.538;0.283
Al  Haouz;Ghmate;0.634;27.8;0.563;0.417;0.027;0.304;0.387;0.499;0.278
Oued Ed-Dahab;Gleibat El Foula;;37.9;0.533;;0.068;0.571;0.750;0.744;0.379
Chichaoua;Gmassa;0.609;29.5;0.599;0.459;0.094;0.308;0.378;0.508;0.295
Errachidia;Goulmima (Mun,);0.772;35.2;0.370;0.322;0.033;0.198;0.148;0.297;0.352
Midelt;Gourrama;0.602;30.8;0.589;0.420;0.107;0.351;0.377;0.545;0.308
Taourirt;Gteter;0.510;37.5;0.648;0.319;0.330;0.392;0.625;0.627;0.375
Marrakech;Gueliz (Arrond,);0.821;41.6;0.268;0.343;0.031;0.220;0.022;0.190;0.416
Guelmim;Guelmim (Mun,);0.799;35.0;0.392;0.287;0.031;0.161;0.027;0.310;0.350
Boujdour;Gueltat Zemmour;0.501;40.1;0.737;0.415;0.535;0.290;0.245;0.770;0.401
Jerada;Guenfouda;0.595;35.3;0.567;0.421;0.204;0.325;0.389;0.526;0.353
Guercif;Guercif (Mun,);0.716;34.7;0.423;0.286;0.031;0.294;0.265;0.406;0.347
Midelt;Guers Tiaallaline;0.632;27.1;0.543;0.430;0.077;0.348;0.330;0.481;0.271
Béni Mellal;Guettaya;0.573;24.6;0.543;0.407;0.281;0.327;0.475;0.530;0.246
Boulemane;Guigou;0.586;32.1;0.554;0.425;0.189;0.310;0.476;0.532;0.321
Midelt;Guir;0.614;30.5;0.576;0.423;0.044;0.379;0.347;0.548;0.305
Settat;Guisser;0.627;25.4;0.535;0.405;0.102;0.289;0.431;0.474;0.254
Taza;Gzenaya Al Janoubia;0.554;31.7;0.545;0.458;0.301;0.335;0.524;0.516;0.317
Khénifra;Had Bouhssoussen;0.561;32.2;0.592;0.433;0.270;0.316;0.424;0.600;0.322
Fquih Ben Salah;Had Boumoussa;0.593;30.7;0.610;0.434;0.217;0.262;0.456;0.462;0.307
Kénitra;Haddada;0.551;24.6;0.611;0.401;0.241;0.369;0.557;0.518;0.246
Es-Semara;Haouza;0.453;45.8;0.647;0.454;0.294;0.399;0.732;0.755;0.458
El Jadida;Haouzia;0.578;32.0;0.616;0.401;0.196;0.286;0.495;0.540;0.320
Marrakech;Harbil;0.686;27.8;0.462;0.469;0.058;0.264;0.212;0.417;0.278
Skhirate- Témara;Harhoura (Mun,);0.826;45.6;0.245;0.338;0.024;0.177;0.200;0.062;0.456
Rabat;Hassan (Arrond,);0.831;36.5;0.216;0.335;0.026;0.255;0.014;0.170;0.365
Nador;Hassi Berkane;0.524;40.9;0.697;0.412;0.215;0.320;0.610;0.602;0.409
Khouribga;Hattane (Mun,);0.776;31.3;0.350;0.343;0.027;0.186;0.058;0.378;0.313
Casablanca;Hay Mohammadi (Arrond,);0.797;33.7;0.290;0.350;0.019;0.233;0.013;0.314;0.337
Casablanca;Hay-Hassani (Arrond,);0.799;32.4;0.286;0.346;0.022;0.256;0.033;0.263;0.324
Fquih Ben Salah;Hel Merbaa;0.634;30.0;0.568;0.432;0.141;0.251;0.364;0.439;0.300
El Kelaa des Sraghna;Hiadna;0.569;24.3;0.596;0.460;0.359;0.310;0.367;0.497;0.243
Chtouka- Ait Baha;Hilala;0.538;28.7;0.765;0.506;0.081;0.348;0.549;0.523;0.287
Guercif;Houara Oulad Raho;0.604;33.9;0.521;0.399;0.184;0.254;0.498;0.523;0.339
Khémisset;Houderrane;0.589;26.1;0.517;0.430;0.158;0.303;0.501;0.557;0.261
Safi;Hrara;0.563;25.7;0.594;0.373;0.124;0.336;0.617;0.578;0.257
Salé;Hssaine (Arrond,);0.804;34.9;0.295;0.350;0.024;0.217;0.028;0.261;0.349
Tinghir;H'Ssyia;0.634;38.9;0.671;0.429;0.038;0.305;0.294;0.455;0.389
Nador;Iaazzanene;0.629;33.5;0.614;0.433;0.032;0.188;0.537;0.422;0.335
Sidi Ifni;Ibdar;0.591;31.8;0.784;0.465;0.105;0.225;0.401;0.472;0.318
Tata;Ibn Yacoub;0.532;29.7;0.732;0.617;0.277;0.359;0.275;0.546;0.297
Chichaoua;Ichamraren;0.534;27.6;0.799;0.463;0.101;0.362;0.504;0.566;0.276
Essaouira;Ida Ou Aazza;0.570;28.4;0.665;0.399;0.034;0.326;0.588;0.570;0.284
Taroudannt;Ida Ou Gailal;0.586;29.9;0.708;0.422;0.097;0.359;0.372;0.527;0.299
Tiznit;Ida Ou Gougmar;0.574;31.4;0.695;0.460;0.084;0.324;0.481;0.512;0.314
Essaouira;Ida Ou Guelloul;0.558;31.3;0.689;0.434;0.092;0.325;0.591;0.524;0.313
Essaouira;Ida Ou Kazzou;0.481;27.7;0.771;0.470;0.046;0.418;0.700;0.707;0.277
Taroudannt;Ida Ou Moumen;0.604;30.7;0.687;0.442;0.076;0.288;0.341;0.542;0.307
Chtouka- Ait Baha;Ida Ougnidif;0.586;37.7;0.665;0.461;0.041;0.298;0.535;0.487;0.377
Taroudannt;Ida Ougoummad;0.607;35.3;0.615;0.516;0.070;0.332;0.342;0.481;0.353
Ouarzazate;Idelsane;0.657;33.8;0.530;0.415;0.087;0.293;0.283;0.449;0.338
"Agadir-Ida
-Ou-Tanane";Idmine;0.578;28.1;0.697;0.456;0.148;0.318;0.422;0.495;0.281
Driouch;Iferni;0.598;26.8;0.543;0.520;0.101;0.257;0.530;0.457;0.268
Ifrane;Ifrane (Mun,);0.816;36.3;0.323;0.257;0.024;0.203;0.023;0.273;0.363
Guelmim;Ifrane Atlas Saghir;0.661;37.9;0.621;0.428;0.023;0.236;0.315;0.410;0.379
Al  Haouz;Ighil;0.593;26.2;0.673;0.479;0.070;0.335;0.348;0.538;0.262
Tinghir;Ighil N'Oumgoun;0.499;26.5;0.770;0.439;0.337;0.456;0.392;0.612;0.265
Youssoufia;Ighoud;0.567;29.3;0.678;0.391;0.020;0.335;0.558;0.616;0.293
Ouarzazate;Ighrem N'Ougdal;0.646;30.8;0.538;0.402;0.171;0.279;0.279;0.453;0.308
Sefrou;Ighzrane;0.528;30.6;0.646;0.466;0.357;0.294;0.515;0.555;0.306
Taroudannt;Igli;0.652;32.0;0.560;0.414;0.101;0.254;0.327;0.435;0.320
Taroudannt;Igoudar Mnabha;0.653;32.6;0.567;0.365;0.057;0.260;0.373;0.460;0.326
Al  Haouz;Iguerferouane;0.564;25.1;0.770;0.392;0.034;0.430;0.423;0.565;0.251
Taroudannt;Iguidi;0.476;27.8;0.666;0.410;0.617;0.458;0.465;0.529;0.278
Nador;Ihaddadene;0.694;32.5;0.490;0.457;0.056;0.168;0.265;0.401;0.325
Driouch;Ijermaouas;0.479;39.7;0.815;0.523;0.270;0.340;0.594;0.586;0.397
Al  Haouz;Ijoukak;0.591;28.9;0.701;0.463;0.054;0.393;0.325;0.515;0.289
Tinghir;Ikniouen;0.561;27.8;0.672;0.376;0.047;0.484;0.432;0.625;0.278
Nador;Iksane;0.644;36.2;0.568;0.412;0.065;0.221;0.449;0.422;0.362
Taroudannt;Imaouen;0.570;33.2;0.774;0.436;0.022;0.436;0.398;0.511;0.332
Al  Haouz;Imgdal;0.585;27.6;0.764;0.440;0.030;0.351;0.333;0.571;0.276
Essaouira;Imgrade;0.531;28.7;0.690;0.505;0.072;0.405;0.577;0.565;0.287
Chtouka- Ait Baha;Imi Mqourn;0.617;30.7;0.756;0.454;0.017;0.252;0.328;0.489;0.307
Sidi Ifni;Imi N'Fast;0.500;26.2;0.735;0.647;0.021;0.389;0.616;0.590;0.262
Ouarzazate;Imi N'Oulaoune;0.583;28.3;0.722;0.404;0.085;0.388;0.367;0.534;0.283
Taroudannt;Imi N'Tayart;0.524;30.7;0.710;0.704;0.127;0.404;0.377;0.537;0.307
Essaouira;Imi N'Tlit;0.538;29.6;0.785;0.500;0.069;0.355;0.528;0.534;0.296
Tinghir;Imider;0.635;33.3;0.450;0.506;0.099;0.354;0.331;0.448;0.333
Midelt;Imilchil;0.456;25.0;0.754;0.405;0.535;0.480;0.461;0.627;0.250
Taroudannt;Imilmaiss;0.529;26.5;0.771;0.438;0.044;0.462;0.537;0.578;0.265
Chichaoua;Imindounit;0.504;26.5;0.752;0.379;0.184;0.378;0.678;0.603;0.265
Chichaoua;Imintanoute (Mun,);0.765;32.3;0.428;0.346;0.058;0.169;0.053;0.357;0.323
Azilal;Imlil;0.666;33.2;0.436;0.412;0.077;0.258;0.390;0.434;0.332
Oued Ed-Dahab;Imlili;0.419;31.4;0.707;0.440;0.007;0.739;0.776;0.817;0.314
Taroudannt;Imoulass;0.518;30.4;0.713;0.447;0.283;0.391;0.496;0.562;0.304
"Agadir-Ida
-Ou-Tanane";Imouzzer;0.580;32.0;0.666;0.430;0.117;0.358;0.445;0.506;0.320
Sefrou;Imouzzer Kandar (Mun,);0.749;34.7;0.396;0.336;0.065;0.188;0.120;0.402;0.347
Boulemane;Imouzzer Marmoucha (Mun,);0.753;33.6;0.458;0.347;0.014;0.180;0.071;0.410;0.336
Al Hoceima;Imrabten;0.615;28.9;0.617;0.421;0.117;0.233;0.372;0.548;0.289
"Agadir-Ida
-Ou-Tanane";Imsouane;0.565;33.0;0.622;0.546;0.037;0.291;0.621;0.491;0.330
Al Hoceima;Imzouren (Mun,);0.757;35.8;0.524;0.293;0.047;0.166;0.073;0.352;0.358
Chtouka- Ait Baha;Inchaden;0.688;35.7;0.522;0.408;0.034;0.182;0.278;0.446;0.357
Inezgane- Ait Melloul;Inezgane (Mun,);0.775;32.6;0.410;0.353;0.031;0.177;0.028;0.352;0.326
Chefchaouen;Iounane;0.525;32.8;0.605;0.339;0.679;0.253;0.510;0.465;0.328
El Hajeb;Iqaddar;0.560;25.8;0.538;0.414;0.202;0.350;0.560;0.575;0.258
Taroudannt;Irherm (Mun,);0.697;33.9;0.543;0.231;0.065;0.199;0.336;0.447;0.339
Tiznit;Irigh N'Tahala;0.597;36.2;0.653;0.539;0.014;0.275;0.468;0.467;0.362
Chichaoua;Irohalen;0.524;25.0;0.728;0.484;0.135;0.432;0.526;0.553;0.250
Oujda-Angad;Isly;0.596;27.6;0.521;0.331;0.280;0.304;0.422;0.565;0.276
Tata;Issafen;0.558;42.5;0.612;0.616;0.069;0.432;0.362;0.561;0.425
Al Hoceima;Issaguen;0.568;35.8;0.543;0.492;0.315;0.287;0.472;0.484;0.358
Azilal;Isseksi;0.506;23.2;0.708;0.484;0.037;0.586;0.499;0.652;0.232
Taroudannt;Issen;0.674;31.2;0.542;0.392;0.062;0.233;0.293;0.436;0.312
Midelt;Itzer;0.632;33.6;0.546;0.527;0.100;0.320;0.244;0.470;0.336
Al Hoceima;Izemmouren;0.681;35.0;0.478;0.463;0.045;0.183;0.293;0.449;0.350
Rehamna;Jaafra;0.499;25.4;0.680;0.418;0.193;0.340;0.699;0.676;0.254
Sidi Bennour;Jabria;0.506;24.3;0.695;0.417;0.316;0.363;0.583;0.590;0.243
El Hajeb;Jahjouh;0.614;27.2;0.563;0.467;0.170;0.279;0.323;0.515;0.272
Rehamna;Jaidate;0.646;30.1;0.566;0.415;0.080;0.292;0.249;0.524;0.301
Safi;Jamaat Shaim (Mun,);0.757;40.8;0.376;0.344;0.054;0.182;0.129;0.375;0.408
Berrechid;Jaqma;0.611;22.2;0.519;0.445;0.081;0.265;0.533;0.491;0.222
Taounate;Jbabra;0.500;28.9;0.679;0.389;0.370;0.404;0.523;0.635;0.289
Taza;Jbarna;0.563;31.9;0.544;0.545;0.123;0.314;0.565;0.533;0.319
Tétouan;Jbel Lahbib;0.606;24.3;0.553;0.427;0.056;0.279;0.517;0.532;0.243
El Kelaa des Sraghna;Jbiel;0.610;30.6;0.617;0.417;0.130;0.309;0.380;0.489;0.306
Es-Semara;Jdiriya;0.519;45.6;0.591;0.285;0.438;0.399;0.487;0.689;0.456
Youssoufia;Jdour;0.501;27.0;0.637;0.417;0.237;0.339;0.748;0.615;0.270
Khémisset;Jemaat Moul Blad;0.474;20.5;0.584;0.401;0.339;0.457;0.641;0.734;0.205
Jerada;Jerada (Mun,);0.782;41.8;0.383;0.332;0.025;0.171;0.019;0.381;0.418
Fès;Jnan El Ouard (Arrond,);0.735;28.9;0.483;0.347;0.077;0.236;0.015;0.431;0.289
Youssoufia;Jnane Bouih;0.506;33.7;0.655;0.482;0.292;0.355;0.588;0.593;0.337
Errachidia;Jorf (Mun,);0.721;31.6;0.450;0.305;0.032;0.208;0.278;0.401;0.316
Sidi Kacem;Jorf El Melha (Mun,);0.773;34.2;0.412;0.292;0.057;0.179;0.029;0.393;0.342
El Kelaa des Sraghna;Jouala;0.637;28.4;0.539;0.408;0.118;0.307;0.302;0.501;0.284
Fahs-Anjra;Jouamaa;0.572;28.0;0.646;0.423;0.094;0.304;0.557;0.541;0.280
Boujdour;Jraifia;0.461;38.8;0.611;0.338;0.012;0.661;0.732;0.879;0.388
Taza;Kaf El Ghar;0.488;27.5;0.655;0.457;0.318;0.446;0.578;0.620;0.275
Ouezzane;Kalaat Bouqorra;0.543;31.3;0.584;0.401;0.436;0.302;0.526;0.492;0.313
Tinghir;Kalaat M'Gouna (Mun,);0.749;43.4;0.493;0.229;0.047;0.207;0.180;0.351;0.434
Sefrou;Kandar Sidi Khiar;0.541;28.1;0.626;0.377;0.222;0.391;0.487;0.655;0.281
Taounate;Karia Ba Mohamed (Mun,);0.753;35.1;0.386;0.331;0.068;0.207;0.102;0.390;0.351
Kénitra;Kariat Ben Aouda;0.551;23.1;0.566;0.435;0.329;0.349;0.514;0.501;0.231
Béni Mellal;Kasba Tadla (Mun,);0.777;33.9;0.361;0.318;0.054;0.169;0.066;0.370;0.339
Berrechid;Kasbat Ben Mchich;0.587;23.4;0.599;0.414;0.086;0.328;0.546;0.506;0.234
Tata;Kasbat Sidi Abdellah Ben M'Ba;0.613;29.1;0.592;0.462;0.056;0.383;0.348;0.482;0.291
Khouribga;Kasbat Troch;0.563;21.9;0.558;0.413;0.155;0.365;0.561;0.571;0.219
Sidi Slimane;Kceibya;0.559;24.2;0.612;0.403;0.413;0.346;0.337;0.532;0.242
Essaouira;Kechoula;0.504;25.1;0.673;0.402;0.304;0.377;0.590;0.628;0.251
Kénitra;Kénitra (Mun,);0.796;37.0;0.305;0.348;0.039;0.208;0.059;0.267;0.370
Khénifra;Kerrouchen;0.537;28.0;0.649;0.486;0.303;0.400;0.382;0.561;0.280
Al Hoceima;Ketama;0.527;34.0;0.581;0.472;0.573;0.236;0.506;0.468;0.340
Safi;Khatazakane;0.523;26.0;0.583;0.417;0.257;0.315;0.653;0.638;0.260
Khémisset;Khemis Sidi Yahya;0.576;22.4;0.511;0.430;0.257;0.290;0.523;0.531;0.224
Khémisset;Khémisset (Mun,);0.772;38.3;0.377;0.344;0.045;0.189;0.073;0.338;0.383
Settat;Khemisset Chaouia;0.562;32.6;0.546;0.401;0.334;0.315;0.541;0.491;0.326
Khénifra;Khenifra (Mun,);0.773;34.4;0.393;0.351;0.035;0.173;0.038;0.369;0.344
Taounate;Khlalfa;0.584;27.5;0.585;0.361;0.304;0.234;0.537;0.478;0.275
Sidi Bennour;Khmis Ksiba;0.520;29.0;0.660;0.514;0.275;0.336;0.539;0.555;0.290
Sidi Kacem;Khnichet;0.661;28.0;0.537;0.435;0.070;0.237;0.280;0.477;0.280
Khouribga;Khouribga (Mun,);0.808;35.4;0.307;0.335;0.042;0.170;0.022;0.274;0.354
Ouarzazate;Khouzama;0.502;27.8;0.772;0.518;0.442;0.390;0.273;0.594;0.278
Taounate;Kissane;0.522;27.0;0.556;0.458;0.334;0.390;0.556;0.572;0.270
Essaouira;Korimate;0.601;27.6;0.612;0.414;0.155;0.328;0.328;0.560;0.276
Sidi Bennour;Koudiat Bni Dghough;0.618;25.4;0.665;0.408;0.162;0.254;0.291;0.514;0.254
Chichaoua;Kouzemt;0.481;28.4;0.797;0.400;0.251;0.402;0.636;0.628;0.284
Sidi Bennour;Kridid;0.529;25.7;0.637;0.432;0.489;0.336;0.404;0.528;0.257
Fquih Ben Salah;Krifate;0.617;31.0;0.562;0.432;0.185;0.269;0.383;0.469;0.310
Boulemane;Ksabi Moulouya;0.598;32.5;0.505;0.436;0.271;0.353;0.351;0.497;0.325
Larache;Ksar Bjir;0.583;30.7;0.581;0.440;0.210;0.310;0.387;0.576;0.307
Larache;Ksar El Kebir (Mun,);0.765;32.0;0.393;0.354;0.063;0.173;0.044;0.383;0.320
Fahs-Anjra;Ksar El Majaz;0.634;36.7;0.600;0.389;0.066;0.177;0.487;0.476;0.367
Fahs-Anjra;Ksar Sghir;0.641;33.1;0.563;0.383;0.076;0.201;0.478;0.451;0.331
Zagora;Ktaoua;0.573;29.2;0.593;0.465;0.099;0.484;0.380;0.544;0.292
Sidi Bennour;Laagagcha;0.585;28.2;0.571;0.379;0.171;0.312;0.542;0.514;0.282
Moulay Yacoub;Laajajra;0.490;26.0;0.658;0.399;0.499;0.347;0.502;0.655;0.260
Safi;Laamamra;0.484;27.0;0.718;0.368;0.247;0.346;0.694;0.723;0.270
Sidi Bennour;Laamria;0.551;27.5;0.652;0.317;0.346;0.338;0.542;0.500;0.275
Sefrou;Laanoussar;0.525;25.5;0.637;0.466;0.193;0.421;0.516;0.617;0.255
Tanger-Assilah;Laaouama;0.604;39.2;0.620;0.446;0.040;0.202;0.571;0.499;0.392
Jerada;Laaouinate;0.607;32.6;0.550;0.378;0.019;0.372;0.447;0.590;0.326
Sidi Bennour;Laaounate;0.641;23.1;0.520;0.375;0.190;0.286;0.334;0.448;0.231
Berkane;Laatamna;0.653;27.4;0.502;0.495;0.046;0.230;0.358;0.451;0.274
El Kelaa des Sraghna;Laatamna;0.639;38.3;0.577;0.402;0.099;0.323;0.283;0.482;0.383
Sidi Bennour;Laatatra;0.579;27.2;0.560;0.397;0.257;0.303;0.495;0.514;0.272
El Kelaa des Sraghna;Laattaouia (Mun,);0.769;27.9;0.420;0.295;0.073;0.181;0.047;0.372;0.279
El Kelaa des Sraghna;Laattaouia Ech-chaibia;0.640;27.6;0.529;0.427;0.099;0.323;0.302;0.480;0.276
Laayoune;Laayoune (Mun,);0.792;33.1;0.333;0.321;0.030;0.192;0.046;0.325;0.331
Safi;Labkhati;0.601;25.4;0.509;0.406;0.164;0.315;0.503;0.496;0.254
Assa-Zag;Labouirat;0.515;47.5;0.699;0.362;0.024;0.492;0.532;0.797;0.475
Rehamna;Labrikiyne;0.551;26.3;0.643;0.406;0.184;0.328;0.563;0.571;0.263
Guelmim;Labyar;0.639;48.9;0.524;0.354;0.164;0.277;0.346;0.501;0.489
Essaouira;Lagdadra;0.534;27.2;0.630;0.532;0.196;0.339;0.491;0.610;0.272
Khouribga;Lagfaf;0.642;30.2;0.414;0.387;0.078;0.313;0.497;0.456;0.302
Taroudannt;Lagfifat;0.658;33.7;0.572;0.408;0.106;0.255;0.273;0.437;0.337
Chefchaouen;Laghdir;0.529;32.5;0.577;0.376;0.492;0.336;0.522;0.521;0.325
El Jadida;Laghdira;0.588;26.7;0.571;0.365;0.158;0.335;0.511;0.532;0.267
Sidi Bennour;Laghnadra;0.617;29.8;0.580;0.413;0.134;0.320;0.342;0.507;0.298
Berrechid;Laghnimyine;0.550;23.3;0.642;0.393;0.344;0.327;0.510;0.481;0.233
Khémisset;Laghoualem;0.492;22.4;0.650;0.393;0.374;0.390;0.620;0.621;0.224
Khouribga;Lagnadiz;0.502;25.5;0.684;0.407;0.354;0.428;0.538;0.575;0.255
Safi;Lahdar;0.570;24.3;0.544;0.404;0.249;0.317;0.538;0.528;0.243
Settat;Lahouaza;0.598;25.9;0.552;0.350;0.206;0.281;0.534;0.485;0.259
Médiouna;Lahraouyine (Mun,);0.696;29.4;0.413;0.346;0.034;0.300;0.285;0.444;0.294
Berrechid;Lahsasna;0.587;22.4;0.593;0.401;0.198;0.297;0.509;0.483;0.224
Essaouira;Lahsinate;0.529;26.7;0.688;0.416;0.268;0.359;0.518;0.578;0.267
Taroudannt;Lakhnafif;0.696;30.2;0.504;0.437;0.024;0.209;0.263;0.387;0.302
Youssoufia;Lakhoualqa;0.534;24.6;0.658;0.381;0.260;0.332;0.583;0.579;0.246
Sidi Ifni;Lakhsas (Mun,);0.718;45.7;0.533;0.246;0.036;0.171;0.306;0.398;0.457
Settat;Lakhzazra;0.537;21.4;0.667;0.395;0.348;0.340;0.533;0.493;0.214
Chichaoua;Lalla Aaziza;0.490;27.0;0.747;0.439;0.266;0.441;0.612;0.557;0.270
Kénitra;Lalla Mimouna;0.626;27.5;0.559;0.423;0.110;0.243;0.446;0.463;0.275
Al  Haouz;Lalla Takarkoust;0.705;26.9;0.484;0.398;0.035;0.250;0.174;0.428;0.269
Safi;Lamaachate;0.570;23.6;0.665;0.391;0.104;0.300;0.584;0.536;0.236
Berrechid;Lambarkiyine;0.582;24.1;0.564;0.390;0.213;0.310;0.529;0.501;0.241
Taroudannt;Lamhadi;0.680;33.0;0.513;0.410;0.039;0.251;0.277;0.432;0.330
Taroudannt;Lamhara;0.633;31.2;0.628;0.463;0.087;0.229;0.323;0.473;0.312
Rehamna;Lamharra;0.595;25.6;0.588;0.396;0.189;0.327;0.367;0.560;0.256
El Jadida;Lamharza Essahel;0.617;27.3;0.538;0.390;0.182;0.307;0.412;0.469;0.273
Ouezzane;Lamjaara;0.606;28.2;0.516;0.411;0.248;0.284;0.403;0.501;0.282
Taroudannt;Lamnizla;0.614;36.5;0.632;0.465;0.027;0.321;0.362;0.507;0.365
Sidi Kacem;Lamrabih;0.574;26.2;0.562;0.453;0.144;0.297;0.544;0.558;0.262
Safi;Lamrasla;0.556;25.9;0.625;0.378;0.164;0.334;0.560;0.602;0.259
Guercif;Lamrija;0.557;30.1;0.583;0.397;0.183;0.340;0.565;0.591;0.301
Safi;Lamsabih;0.574;22.9;0.595;0.445;0.101;0.322;0.547;0.544;0.229
Boujdour;Lamssid;0.529;33.2;0.553;0.265;0.040;0.529;0.632;0.809;0.332
Chichaoua;Lamzoudia;0.608;30.4;0.621;0.406;0.123;0.290;0.368;0.547;0.304
Larache;Laouamra;0.583;34.5;0.595;0.389;0.303;0.252;0.485;0.478;0.345
Settat;Laqraqra;0.581;24.2;0.635;0.465;0.106;0.315;0.494;0.496;0.242
Guelmim;Laqsabi Tagoust;0.661;45.3;0.512;0.397;0.058;0.268;0.342;0.459;0.453
El Hajeb;Laqsir;0.582;26.2;0.537;0.450;0.088;0.332;0.563;0.537;0.262
Larache;Larache (Mun,);0.765;34.2;0.395;0.339;0.035;0.222;0.081;0.340;0.342
Salé;Layayda (Arrond,);0.763;33.0;0.399;0.380;0.049;0.192;0.031;0.373;0.330
El Jadida;Lbir Jdid (Mun,);0.767;35.9;0.381;0.314;0.042;0.183;0.086;0.393;0.359
Jerada;Lebkhata;0.601;34.5;0.539;0.386;0.155;0.339;0.423;0.550;0.345
Khénifra;Lehri;0.486;33.2;0.615;0.433;0.463;0.437;0.533;0.602;0.332
Sidi Bennour;Lgharbia;0.598;28.1;0.553;0.397;0.131;0.311;0.523;0.499;0.281
Errachidia;Lkheng;0.668;39.3;0.414;0.453;0.096;0.267;0.306;0.453;0.393
Sidi Bennour;Lmechrek;0.550;34.0;0.540;0.422;0.417;0.319;0.529;0.474;0.340
El Kelaa des Sraghna;Louad Lakhdar;0.617;24.4;0.587;0.491;0.054;0.282;0.406;0.477;0.244
Moulay Yacoub;Louadaine;0.545;27.8;0.611;0.365;0.525;0.290;0.422;0.518;0.278
Sidi Bennour;Loualidia;0.659;25.0;0.538;0.423;0.062;0.258;0.309;0.458;0.250
Marrakech;Loudaya;0.640;28.6;0.550;0.433;0.071;0.274;0.347;0.487;0.286
Settat;Loulad (Mun,);0.722;42.4;0.451;0.294;0.125;0.220;0.174;0.405;0.424
Taounate;Loulja;0.479;28.3;0.703;0.426;0.502;0.370;0.554;0.574;0.283
El Kelaa des Sraghna;Lounasda;0.587;25.4;0.632;0.428;0.296;0.349;0.308;0.465;0.254
Al Hoceima;Louta;0.600;31.3;0.725;0.423;0.026;0.212;0.494;0.517;0.313
Inezgane- Ait Melloul;Lqliaa (Mun,);0.708;36.6;0.478;0.344;0.036;0.178;0.293;0.424;0.366
Khouribga;Maadna;0.580;23.8;0.530;0.338;0.141;0.393;0.545;0.573;0.238
Figuig;Maatarka;0.326;37.6;0.708;0.325;0.828;0.599;0.736;0.849;0.376
Khémisset;Maaziz;0.655;20.6;0.465;0.470;0.149;0.236;0.260;0.491;0.206
Settat;Machraa Ben Abbou;0.579;23.5;0.629;0.435;0.094;0.322;0.540;0.506;0.235
Taroudannt;Machraa El Ain;0.698;30.1;0.455;0.416;0.050;0.187;0.301;0.403;0.301
Berkane;Madagh;0.694;38.2;0.490;0.460;0.029;0.198;0.209;0.452;0.382
Taza;Maghraoua;0.454;29.2;0.675;0.442;0.367;0.503;0.593;0.697;0.292
Chichaoua;Majjat;0.573;30.6;0.608;0.457;0.185;0.291;0.513;0.508;0.306
Meknès;Majjate;0.645;34.3;0.420;0.371;0.154;0.244;0.462;0.479;0.343
Khémisset;Majmaa Tolba;0.551;25.7;0.553;0.406;0.139;0.305;0.691;0.602;0.257
Tétouan;Mallalienne;0.621;41.9;0.608;0.397;0.107;0.216;0.443;0.502;0.419
